Geo Point;Geo Shape;gares_id;nom_long;nom_so_gar;nom_su_gar;id_ref_ZdC;StopName;id_ref_ZdA;nom_ZdA;idrefliga;idrefligc;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.83182565048563, 2.3141223234590225;"{""coordinates"": [2.314122323459022, 48.83182565048563], ""type"": ""Point""}";656;Plaisance;;;71039;Plaisance / Vercingétorix;45322;Plaisance;A01546;C01383;METRO 13;13;METRO;0;0;0;0;0;RATP;1;0;649651.2929;6859304.2041;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1;Plaisance
48.81987622105712, 2.364531953109201;"{""coordinates"": [2.364531953109201, 48.81987622105712], ""type"": ""Point""}";687;Porte de Choisy;;;70604;Porte de Choisy;44513;Porte de Choisy;A01540;C01377;METRO 7;7;METRO;0;0;0;0;0;RATP;1;0;653340.9724;6857944.6053;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;Porte de Choisy
48.85523625280238, 2.360956490023829;"{""coordinates"": [2.360956490023829, 48.85523625280238], ""type"": ""Point""}";777;Saint-Paul;Le Marais;;71222;Saint-Paul (Le Marais);44881;Saint-Paul (Le Marais);A01534;C01371;METRO 1;1;METRO;0;0;0;0;0;RATP;1;0;653110.2706;6861878.3873;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f99937fd31b1787d79e47d20b18f71c4;Saint-Paul
48.86751302499845, 2.346552336353212;"{""coordinates"": [2.346552336353212, 48.86751302499845], ""type"": ""Point""}";792;Sentier;;;73634;Sentier;44825;Sentier;A01536;C01373;METRO 3;3;METRO;0;0;0;0;0;RATP;1;0;652064.6885;6863252.1122;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f78ce6bd7997c9c645e25ebdc320ff0a;Sentier
48.84562696674718, 2.3095314914609446;"{""coordinates"": [2.309531491460945, 48.84562696674718], ""type"": ""Point""}";800;Sèvres-Lecourbe;;;71144;Sèvres Lecourbe;44829;Sèvres Lecourbe;A01539;C01376;METRO 6;6;METRO;0;0;0;0;0;RATP;1;0;649327.7179;6860841.6954;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0;Sèvres-Lecourbe
48.897374796428764, 2.3289428127683025;"{""coordinates"": [2.328942812768303, 48.897374796428764], ""type"": ""Point""}";696;Porte de Saint-Ouen;;;72078;Porte de Saint-Ouen;44525;Porte de Saint-Ouen;A01546;C01383;METRO 13;13;METRO;0;0;0;0;0;RATP;1;0;650801.1471;6866583.3842;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1;Porte de Saint-Ouen
48.87717481930548, 2.406480156998486;"{""coordinates"": [2.406480156998486, 48.87717481930548], ""type"": ""Point""}";697;Porte des Lilas;;;71889;Porte des Lilas;44529;Porte des Lilas;A01544;C01381;METRO 11;11;METRO;0;0;0;0;0;RATP;1;0;656468.8342;6864291.7286;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/964a06dc4dd9a4041b09c37567bd5b94;Porte des Lilas
48.81922334960906, 2.35970521674602;"{""coordinates"": [2.35970521674602, 48.81922334960906], ""type"": ""Point""}";703;Porte d'Italie;;;70596;Porte d'Italie;473456;Porte d'Italie;A01540;C01377;METRO 7;7;METRO;0;0;0;0;0;RATP;1;0;652985.99;6857874.877;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;Porte d'Italie
48.86590673959417, 2.3341895419682497;"{""coordinates"": [2.33418954196825, 48.86590673959417], ""type"": ""Point""}";714;Pyramides;;;73788;Pyramides;44579;Pyramides;A01547;C01384;METRO 14;14;METRO;0;0;0;0;0;RATP;1;0;651156.2996;6863081.082;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/9bca75433eb738dae9e4d3657b7a3de5;Pyramides
48.86573786666654, 2.3344377148655506;"{""coordinates"": [2.334437714865551, 48.86573786666654], ""type"": ""Point""}";715;Pyramides;;;73788;Pyramides;44579;Pyramides;A01540;C01377;METRO 7;7;METRO;0;0;0;0;0;RATP;1;0;651174.3468;6863062.1512;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;Pyramides
